reference,physical_pin,net
C1,1,INA_P
C1,2,INA_N
C10,1,LOGIC_VIN
C10,2,GND
C11,1,LOGIC_VIN
C11,2,GND
C12,1,MOBILE_5V
C12,2,GND
C13,1,MOBILE_5V
C13,2,GND
C14,1,MOBILE_5V
C14,2,GND
C15,1,MOBILE_5V
C15,2,GND
C16,1,BENCH_5V
C16,2,GND
C17,1,SYSTEM_5V
C17,2,GND
C18,1,SYSTEM_5V
C18,2,GND
C2,1,+3V3
C2,2,GND
C3,1,ADC_BAT
C3,2,GND
C4,1,ADC_TDK
C4,2,GND
C5,1,ADC_BRAKE
C5,2,GND
C6,1,ADC_EXC
C6,2,GND
C7,1,+3V3
C7,2,GND
C8,1,MOBILE_5V
C8,2,FB_5V
C9,1,LOGIC_VIN
C9,2,GND
F1,1,BAT_MON
F1,2,LOGIC_VIN
J1,1,NTC_BAT
J1,2,GND
J2,1,NTC_TDK
J2,2,GND
J3,1,NTC_BRAKE
J3,2,GND
J4,1,GND
J4,10,GND
J4,2,+3V3
J4,3,I2C_SDA
J4,4,I2C_SCL
J4,5,RUN_REQ
J4,6,RUN_OK
J4,7,TDK_IMON
J4,8,BRAKE_ACTIVE_N
J4,9,GND
J5,1,GND
J5,2,+3V3
J5,3,I2C_SDA
J5,4,I2C_SCL
J5,5,RUN_REQ
J5,6,RUN_OK
J5,7,TDK_IMON
J5,8,GND
J6,1,GND
J6,2,+3V3
J6,3,RUN_OK
J7,1,GND
J7,2,+3V3
J7,3,RUN_OK
J8,1,GND
J8,2,+3V3
J8,3,I2C_SDA
J8,4,I2C_SCL
J8,5,BRAKE_ACTIVE_N
R1,1,BAT_SENSE_P
R1,2,INA_P
R10,1,MOBILE_5V
R10,2,FB_5V
R11,1,FB_5V
R11,2,AGND_5V
R12,1,RT_5V
R12,2,AGND_5V
R13,1,BENCH_5V
R13,2,BENCH_VALID
R14,1,BENCH_VALID
R14,2,GND
R2,1,BAT_SENSE_N
R2,2,INA_N
R3,1,+3V3
R3,2,NTC_BAT
R4,1,+3V3
R4,2,NTC_TDK
R5,1,+3V3
R5,2,NTC_BRAKE
R6,1,NTC_BAT
R6,2,ADC_BAT
R7,1,NTC_TDK
R7,2,ADC_TDK
R8,1,NTC_BRAKE
R8,2,ADC_BRAKE
R9,1,+3V3
R9,2,ADC_EXC
RS1,1,BAT_FUSED
RS1,2,BAT_SENSE_P
RS1,3,BAT_SENSE_N
RS1,4,BAT_MON
U1,1,GND
U1,10,INA_P
U1,2,GND
U1,3,unconnected-(U1-ALERT-Pad3)
U1,4,I2C_SDA
U1,5,I2C_SCL
U1,6,+3V3
U1,7,GND
U1,8,BAT_MON
U1,9,INA_N
U2,1,GND
U2,10,I2C_SCL
U2,2,unconnected-(U2-ALERT-Pad2)
U2,3,GND
U2,4,ADC_BAT
U2,5,ADC_TDK
U2,6,ADC_BRAKE
U2,7,ADC_EXC
U2,8,+3V3
U2,9,I2C_SDA
U3,1,AGND_5V
U3,10,SW_INTERNAL
U3,11,SW_INTERNAL
U3,12,unconnected-(U3-DNC-Pad12)
U3,13,unconnected-(U3-DNC-Pad13)
U3,14,GND
U3,15,GND
U3,16,FB_5V
U3,17,unconnected-(U3-PG-Pad17)
U3,18,GND
U3,2,LOGIC_VIN
U3,3,RT_5V
U3,4,LOGIC_VIN
U3,5,GND
U3,6,MOBILE_5V
U3,7,MOBILE_5V
U3,8,MOBILE_5V
U3,9,SW_INTERNAL
U4,1,GND
U4,2,SYSTEM_5V
U4,3,BENCH_5V
U4,4,BENCH_VALID
U4,5,BENCH_5V
U4,6,MOBILE_5V
U4,7,SYSTEM_5V
U4,8,unconnected-(U4-ST-Pad8)
W1,1,BAT_FUSED
W2,1,GND
W3,1,BAT_MON
W4,1,GND
W5,1,BENCH_5V
W6,1,GND
W7,1,SYSTEM_5V
W8,1,GND
