ref,pin,source_net,r22_net,equal
C1,1,INA_P,INA_P,True
C1,2,INA_N,INA_N,True
C10,1,LOGIC_VIN,LOGIC_VIN,True
C10,2,GND,GND,True
C11,1,LOGIC_VIN,LOGIC_VIN,True
C11,2,GND,GND,True
C12,1,MOBILE_5V,MOBILE_5V,True
C12,2,GND,GND,True
C13,1,MOBILE_5V,MOBILE_5V,True
C13,2,GND,GND,True
C14,1,MOBILE_5V,MOBILE_5V,True
C14,2,GND,GND,True
C15,1,MOBILE_5V,MOBILE_5V,True
C15,2,GND,GND,True
C16,1,BENCH_5V,BENCH_5V,True
C16,2,GND,GND,True
C17,1,SYSTEM_5V,SYSTEM_5V,True
C17,2,GND,GND,True
C18,1,SYSTEM_5V,SYSTEM_5V,True
C18,2,GND,GND,True
C2,1,+3V3,+3V3,True
C2,2,GND,GND,True
C3,1,ADC_BAT,ADC_BAT,True
C3,2,GND,GND,True
C4,1,ADC_TDK,ADC_TDK,True
C4,2,GND,GND,True
C5,1,ADC_BRAKE,ADC_BRAKE,True
C5,2,GND,GND,True
C6,1,ADC_EXC,ADC_EXC,True
C6,2,GND,GND,True
C7,1,+3V3,+3V3,True
C7,2,GND,GND,True
C8,1,MOBILE_5V,MOBILE_5V,True
C8,2,FB_5V,FB_5V,True
C9,1,LOGIC_VIN,LOGIC_VIN,True
C9,2,GND,GND,True
F1,1,BAT_MON,BAT_MON,True
F1,2,LOGIC_VIN,LOGIC_VIN,True
J1,1,NTC_BAT,NTC_BAT,True
J1,2,GND,GND,True
J2,1,NTC_TDK,NTC_TDK,True
J2,2,GND,GND,True
J3,1,NTC_BRAKE,NTC_BRAKE,True
J3,2,GND,GND,True
J4,1,GND,GND,True
J4,10,GND,GND,True
J4,2,+3V3,+3V3,True
J4,3,I2C_SDA,I2C_SDA,True
J4,4,I2C_SCL,I2C_SCL,True
J4,5,RUN_REQ,RUN_REQ,True
J4,6,RUN_OK,RUN_OK,True
J4,7,TDK_IMON,TDK_IMON,True
J4,8,BRAKE_ACTIVE_N,BRAKE_ACTIVE_N,True
J4,9,GND,GND,True
J5,1,GND,GND,True
J5,2,+3V3,+3V3,True
J5,3,I2C_SDA,I2C_SDA,True
J5,4,I2C_SCL,I2C_SCL,True
J5,5,RUN_REQ,RUN_REQ,True
J5,6,RUN_OK,RUN_OK,True
J5,7,TDK_IMON,TDK_IMON,True
J5,8,GND,GND,True
J6,1,GND,GND,True
J6,2,+3V3,+3V3,True
J6,3,RUN_OK,RUN_OK,True
J7,1,GND,GND,True
J7,2,+3V3,+3V3,True
J7,3,RUN_OK,RUN_OK,True
J8,1,GND,GND,True
J8,2,+3V3,+3V3,True
J8,3,I2C_SDA,I2C_SDA,True
J8,4,I2C_SCL,I2C_SCL,True
J8,5,BRAKE_ACTIVE_N,BRAKE_ACTIVE_N,True
R1,1,BAT_SENSE_P,BAT_SENSE_P,True
R1,2,INA_P,INA_P,True
R10,1,MOBILE_5V,MOBILE_5V,True
R10,2,FB_5V,FB_5V,True
R11,1,FB_5V,FB_5V,True
R11,2,AGND_5V,AGND_5V,True
R12,1,RT_5V,RT_5V,True
R12,2,AGND_5V,AGND_5V,True
R13,1,BENCH_5V,BENCH_5V,True
R13,2,BENCH_VALID,BENCH_VALID,True
R14,1,BENCH_VALID,BENCH_VALID,True
R14,2,GND,GND,True
R2,1,BAT_SENSE_N,BAT_SENSE_N,True
R2,2,INA_N,INA_N,True
R3,1,+3V3,+3V3,True
R3,2,NTC_BAT,NTC_BAT,True
R4,1,+3V3,+3V3,True
R4,2,NTC_TDK,NTC_TDK,True
R5,1,+3V3,+3V3,True
R5,2,NTC_BRAKE,NTC_BRAKE,True
R6,1,NTC_BAT,NTC_BAT,True
R6,2,ADC_BAT,ADC_BAT,True
R7,1,NTC_TDK,NTC_TDK,True
R7,2,ADC_TDK,ADC_TDK,True
R8,1,NTC_BRAKE,NTC_BRAKE,True
R8,2,ADC_BRAKE,ADC_BRAKE,True
R9,1,+3V3,+3V3,True
R9,2,ADC_EXC,ADC_EXC,True
RS1,1,BAT_FUSED,BAT_FUSED,True
RS1,2,BAT_SENSE_P,BAT_SENSE_P,True
RS1,3,BAT_SENSE_N,BAT_SENSE_N,True
RS1,4,BAT_MON,BAT_MON,True
U1,1,GND,GND,True
U1,10,INA_P,INA_P,True
U1,2,GND,GND,True
U1,3,unconnected-(U1-ALERT-Pad3),unconnected-(U1-ALERT-Pad3),True
U1,4,I2C_SDA,I2C_SDA,True
U1,5,I2C_SCL,I2C_SCL,True
U1,6,+3V3,+3V3,True
U1,7,GND,GND,True
U1,8,BAT_MON,BAT_MON,True
U1,9,INA_N,INA_N,True
U2,1,GND,GND,True
U2,10,I2C_SCL,I2C_SCL,True
U2,2,unconnected-(U2-ALERT-Pad2),unconnected-(U2-ALERT-Pad2),True
U2,3,GND,GND,True
U2,4,ADC_BAT,ADC_BAT,True
U2,5,ADC_TDK,ADC_TDK,True
U2,6,ADC_BRAKE,ADC_BRAKE,True
U2,7,ADC_EXC,ADC_EXC,True
U2,8,+3V3,+3V3,True
U2,9,I2C_SDA,I2C_SDA,True
U3,1,AGND_5V,AGND_5V,True
U3,10,SW_INTERNAL,SW_INTERNAL,True
U3,11,SW_INTERNAL,SW_INTERNAL,True
U3,12,unconnected-(U3-DNC-Pad12),unconnected-(U3-DNC-Pad12),True
U3,13,unconnected-(U3-DNC-Pad13),unconnected-(U3-DNC-Pad13),True
U3,14,GND,GND,True
U3,15,GND,GND,True
U3,16,FB_5V,FB_5V,True
U3,17,unconnected-(U3-PG-Pad17),unconnected-(U3-PG-Pad17),True
U3,18,GND,GND,True
U3,2,LOGIC_VIN,LOGIC_VIN,True
U3,3,RT_5V,RT_5V,True
U3,4,LOGIC_VIN,LOGIC_VIN,True
U3,5,GND,GND,True
U3,6,MOBILE_5V,MOBILE_5V,True
U3,7,MOBILE_5V,MOBILE_5V,True
U3,8,MOBILE_5V,MOBILE_5V,True
U3,9,SW_INTERNAL,SW_INTERNAL,True
U4,1,GND,GND,True
U4,2,SYSTEM_5V,SYSTEM_5V,True
U4,3,BENCH_5V,BENCH_5V,True
U4,4,BENCH_VALID,BENCH_VALID,True
U4,5,BENCH_5V,BENCH_5V,True
U4,6,MOBILE_5V,MOBILE_5V,True
U4,7,SYSTEM_5V,SYSTEM_5V,True
U4,8,unconnected-(U4-ST-Pad8),unconnected-(U4-ST-Pad8),True
W1,1,BAT_FUSED,BAT_FUSED,True
W2,1,GND,GND,True
W3,1,BAT_MON,BAT_MON,True
W4,1,GND,GND,True
W5,1,BENCH_5V,BENCH_5V,True
W6,1,GND,GND,True
W7,1,SYSTEM_5V,SYSTEM_5V,True
W8,1,GND,GND,True
