source_domain,source_ref,reference,pin,source_net,merged_net,x_mm,y_mm
power,H2,H2,,,,62.0,3.0
power,C3,C3,1,REG_RAW,REG_RAW,47.0,23.0
power,C3,C3,2,GND,GND,52.0,23.0
power,RS1,RS1,1,PRE_SHUNT,PRE_SHUNT,53.89,42.535
power,RS1,RS1,2,SENSE_P,SENSE_P,49.7,42.535
power,RS1,RS1,3,SENSE_N,SENSE_N,49.7,47.465
power,RS1,RS1,4,SERVO_BUS,SERVO_BUS,53.89,47.465
power,C2,C2,1,REG_RAW,REG_RAW,47.0,10.0
power,C2,C2,2,GND,GND,52.0,10.0
power,W3,W3,1,SERVO_BUS,SERVO_BUS,54.0,54.0
power,W4,W4,1,GND,GND,44.0,56.0
power,H1,H1,,,,3.0,3.0
power,U1,U1,1,BAT_SW,BAT_SW,8.5,16.8
power,U1,U1,2,TDK_ON_N,TDK_ON_N,8.5,24.42
power,U1,U1,3,GND,GND,8.5,32.04
power,U1,U1,4,GND,GND,36.44,32.04
power,U1,U1,5,ITRIM,ITRIM,36.44,28.23
power,U1,U1,6,VTRIM,VTRIM,36.44,24.42
power,U1,U1,7,REG_RAW,REG_RAW,36.44,20.61
power,U1,U1,8,REG_RAW,REG_RAW,36.44,16.8
power,U1,U1,32,GND,GND,20.57,32.04
power,U1,U1,34,IMON_RAW,IMON_RAW,24.38,32.04
power,Q1,Q1,,,,49.014,36.905
power,Q1,Q1,,,,49.014,35.635
power,Q1,Q1,,,,49.014,34.365
power,Q1,Q1,,,,49.014,33.095
power,Q1,Q1,,,,47.94,36.569
power,Q1,Q1,,,,47.94,35.523
power,Q1,Q1,,,,47.94,34.477
power,Q1,Q1,,,,47.94,33.431
power,Q1,Q1,,,,46.296,36.569
power,Q1,Q1,,,,46.296,35.523
power,Q1,Q1,,,,46.296,34.477
power,Q1,Q1,,,,46.296,33.431
power,Q1,Q1,,,,43.464,36.905
power,Q1,Q1,,,,43.464,35.635
power,Q1,Q1,,,,43.464,34.365
power,Q1,Q1,,,,43.464,33.095
power,Q1,Q1,1,REG_RAW,REG_RAW,43.23,33.095
power,Q1,Q1,2,REG_RAW,REG_RAW,43.23,34.365
power,Q1,Q1,3,REG_RAW,REG_RAW,43.23,35.635
power,Q1,Q1,4,DGATE,DGATE,43.23,36.905
power,Q1,Q1,5,MID_DRAIN,MID_DRAIN,49.161,36.905
power,Q1,Q1,5,MID_DRAIN,MID_DRAIN,46.941,35.0
power,Q1,Q1,6,MID_DRAIN,MID_DRAIN,49.161,35.635
power,Q1,Q1,7,MID_DRAIN,MID_DRAIN,49.161,34.365
power,Q1,Q1,8,MID_DRAIN,MID_DRAIN,49.161,33.095
power,Q2,Q2,,,,53.986,33.095
power,Q2,Q2,,,,53.986,34.365
power,Q2,Q2,,,,53.986,35.635
power,Q2,Q2,,,,53.986,36.905
power,Q2,Q2,,,,55.06,33.431
power,Q2,Q2,,,,55.06,34.477
power,Q2,Q2,,,,55.06,35.523
power,Q2,Q2,,,,55.06,36.569
power,Q2,Q2,,,,56.704,33.431
power,Q2,Q2,,,,56.704,34.477
power,Q2,Q2,,,,56.704,35.523
power,Q2,Q2,,,,56.704,36.569
power,Q2,Q2,,,,59.536,33.095
power,Q2,Q2,,,,59.536,34.365
power,Q2,Q2,,,,59.536,35.635
power,Q2,Q2,,,,59.536,36.905
power,Q2,Q2,1,PRE_SHUNT,PRE_SHUNT,59.77,36.905
power,Q2,Q2,2,PRE_SHUNT,PRE_SHUNT,59.77,35.635
power,Q2,Q2,3,PRE_SHUNT,PRE_SHUNT,59.77,34.365
power,Q2,Q2,4,HGATE,HGATE,59.77,33.095
power,Q2,Q2,5,MID_DRAIN,MID_DRAIN,53.839,33.095
power,Q2,Q2,5,MID_DRAIN,MID_DRAIN,56.059,35.0
power,Q2,Q2,6,MID_DRAIN,MID_DRAIN,53.839,34.365
power,Q2,Q2,7,MID_DRAIN,MID_DRAIN,53.839,35.635
power,Q2,Q2,8,MID_DRAIN,MID_DRAIN,53.839,36.905
power,W1,W1,1,BAT_SW,BAT_SW,8.0,52.0
power,H4,H4,,,,62.0,57.0
power,J1,J1,1,GND,GND,61.325,23.5
power,J1,J1,2,+3V3,+3V3,61.325,22.5
power,J1,J1,3,I2C_SDA,I2C_SDA,61.325,21.5
power,J1,J1,4,I2C_SCL,I2C_SCL,61.325,20.5
power,J1,J1,5,RUN_REQ,RUN_REQ,61.325,19.5
power,J1,J1,6,RUN_OK,RUN_OK,61.325,18.5
power,J1,J1,7,TDK_IMON,TDK_IMON,61.325,17.5
power,J1,J1,8,GND,GND,61.325,16.5
power,J1,J1,MP,,,58.8,24.8
power,J1,J1,MP,,,58.8,15.2
power,W2,W2,1,GND,GND,31.0,53.0
power,H3,H3,,,,3.0,57.0
power,C1,C1,1,BAT_SW,BAT_SW,18.0,52.0
