conductor_id,R25_upper_port,from_endpoint,to_endpoint,net,color,awg,MPN,installed_length_lower_mm,installed_length_upper_mm,raw_cut_nominal_mm,raw_cut_tolerance_mm,R25_delta_length_mm,R20_wire_max_ohm,R105_wire_max_ohm
R23-001,,B1:J4.1,B5:J1.1,GND,black,28,55A0111-28-0,158.94187297221046,169.94187297221046,180,1,,0.03824807246028096,0.051024841065637816
R23-002,,B1:J4.2,B5:J1.2,+3V3,red,28,55A0111-28-2,164.74187297221042,175.74187297221042,186,1,,0.03955345303770877,0.05276628402495538
R23-003,,B1:J4.3,B5:J1.3,I2C_SDA,green,28,55A0111-28-5,170.54187297221048,181.54187297221048,192,1,,0.040858833615136605,0.05450772698427299
R23-004,,B1:J4.4,B5:J1.4,I2C_SCL,yellow,28,55A0111-28-4,176.34187297221044,187.34187297221044,198,1,,0.042164214192564414,0.056249169943590555
R23-005,,B1:J4.5,B5:J1.5,RUN_REQ,white,28,55A0111-28-9,182.1418729722105,193.1418729722105,204,1,,0.04346959476999225,0.05799061290290816
R23-006,,B1:J4.6,B5:J1.6,RUN_OK,violet,28,55A0111-28-7,187.94187297221046,198.94187297221046,209,1,,0.044774975347420067,0.059732055862225734
R23-007,,B1:J4.7,B5:J1.7,TDK_IMON,blue,28,55A0111-28-6,193.74187297221042,204.74187297221042,215,1,,0.046080355924847875,0.06147349882154331
R23-008,,B1:J4.8,B5:J1.8,BRAKE_ACTIVE_N,brown,28,55A0111-28-1,199.54187297221048,210.54187297221048,221,1,,0.04738573650227571,0.06321494178086091
R23-009,,B1:J4.9,B5:J1.9,GND,black,28,55A0111-28-0,205.34187297221047,216.34187297221047,227,1,,0.04869111707970353,0.0649563847401785
R23-010,,B1:J4.10,B5:J1.10,GND,black,28,55A0111-28-0,211.1418729722105,222.1418729722105,233,1,,0.04999649765713136,0.06669782769949609
R23-011,S01,B1:J5.1,B2:J1.1,GND,black,28,55A0111-28-0,580.0000248704362,591.0000248704362,602,1,19.00951399091832,0.13301378512503909,0.17744704004605838
R23-012,S02,B1:J5.2,B2:J1.2,+3V3,red,28,55A0111-28-2,670.6532428659755,681.6532428659755,692,1,20.26127563412996,0.15341670754791967,0.20466555870430223
R23-013,S03,B1:J5.3,B2:J1.3,I2C_SDA,green,28,55A0111-28-5,665.3030711687045,676.3030711687045,687,1,20.418336303068827,0.15221256785489867,0.20305917614682759
R23-014,S04,B1:J5.4,B2:J1.4,I2C_SCL,yellow,28,55A0111-28-4,634.8691143735973,645.8691143735973,656,1,21.13955764301454,0.14536293059720726,0.19392141756320433
R23-015,S05,B1:J5.5,B2:J1.5,RUN_REQ,white,28,55A0111-28-9,621.3898116584767,632.3898116584767,643,1,21.545980951601393,0.14232920301762303,0.18987427328565998
R23-016,S06,B1:J5.6,B2:J1.6,RUN_OK,violet,28,55A0111-28-7,631.8814348555342,642.8814348555342,653,1,18.810001127209603,0.1446905066636799,0.19302437041468218
R23-017,S07,B1:J5.7,B2:J1.7,TDK_IMON,blue,28,55A0111-28-6,610.7987791097789,621.7987791097789,632,1,19.96661790007653,0.1399455257445237,0.18669432861948188
R23-018,S08,B1:J5.8,B2:J1.8,GND,black,28,55A0111-28-0,625.5100861645799,636.5100861645799,647,1,20.461057571213303,0.1432565351407158,0.19111138070447187
R23-019,S20,B1:J6.1,B6:J1.1,GND,black,28,55A0111-28-0,735.5083531336862,746.5083531336862,757,1,21.510653632589197,0.16801336294281782,0.2241382268338661
R23-020,S21,B1:J6.2,B6:J1.2,+3V3,red,28,55A0111-28-2,699.6128573713465,710.6128573713465,721,1,19.119322450734614,0.15993452104880038,0.21336064780515215
R23-021,S22,B1:J6.3,B6:J1.3,RUN_OK,violet,28,55A0111-28-7,763.2587067381487,774.2587067381487,785,1,19.328619645276774,0.17425901339316596,0.23247023681715304
R23-022,S23,B1:J7.1,B7:J1.1,GND,black,28,55A0111-28-0,754.7262519479002,765.7262519479002,776,1,20.02772362899981,0.17233865119299854,0.2299083776240197
R23-023,S24,B1:J7.2,B7:J1.2,+3V3,red,28,55A0111-28-2,752.7838760701017,763.7838760701017,774,1,21.033616994857084,0.17190148916800843,0.22932518162458163
R23-024,S25,B1:J7.3,B7:J1.3,RUN_OK,violet,28,55A0111-28-7,756.8452699378265,767.8452699378265,778,1,21.620865886798413,0.17281556928390712,0.23054461020319628
R23-042,S09,B1:J8.1,B2:P101.1,GND,black,28,55A0111-28-0,570.4428532831084,575.9428532831084,586,1,21.08937134255791,0.12962493351450535,0.17292614255502586
R23-043,S10,B1:J8.2,B2:P102.1,+3V3,red,28,55A0111-28-2,631.2766672543632,636.7766672543632,647,1,21.312147044636617,0.14331653337811454,0.1911914213530737
R23-044,S11,B1:J8.3,B2:P103.1,I2C_SDA,green,28,55A0111-28-5,582.8881389336443,588.3881389336443,599,1,19.05432683082745,0.13242593940566927,0.17666282446413306
R23-045,S12,B1:J8.4,B2:P104.1,I2C_SCL,yellow,28,55A0111-28-4,607.2588390687073,612.7588390687073,623,1,20.17085097681388,0.13791094606336388,0.1839800975958306
R23-046,S13,B1:J8.5,B2:P105.1,BRAKE_ACTIVE_N,brown,28,55A0111-28-1,590.1611099462948,595.6611099462948,606,1,20.701754197929915,0.1340628351125847,0.17884652518194363
R23-047,S14,B1:J1.1,RT1:1,NTC_BAT,white,28,55A0111-28-9,789.6592988848702,795.1592988848702,806,1,20.94364179022324,0.1789630180561092,0.23874561423775248
R23-048,S15,B1:J1.2,RT1:2,GND,black,28,55A0111-28-0,792.1373597749327,797.6373597749327,808,1,21.507365792017936,0.1795207443587939,0.23948964901184897
R23-049,S16,B1:J2.1,RT2:1,NTC_TDK,white,28,55A0111-28-9,679.0180813793752,684.5180813793752,695,1,18.21998348950592,0.15406148419496432,0.20552572299029215
R23-050,S17,B1:J2.2,RT2:2,GND,black,28,55A0111-28-0,679.8542283315455,685.3542283315455,696,1,20.02081837500731,0.15424967212448823,0.2057767750976735
R23-051,S18,B1:J3.1,RT3:1,NTC_BRAKE,white,28,55A0111-28-9,702.9767073044397,708.4767073044397,719,1,20.227338533665204,0.15945374711641913,0.21271927134065893
R23-052,S19,B1:J3.2,RT3:2,GND,black,28,55A0111-28-0,729.7777026370891,735.2777026370891,746,1,20.631001604669393,0.16548572966175953,0.22076623765527031
R23-053,P1,J0:1,B1:W1.1,BAT_FUSED,red,18_then16,55A0111-18/16-2,715.0748903370561,721.0748903370561,732,1,18.451311748871774,0.011830820209700218,0.015782905700750575
R23-054,P2,J0:2,B1:W2.1,GND,black,18_then16,55A0111-18/16-0,614.7841963604438,620.7841963604438,631,1,18.136205743251253,0.010290758844005678,0.013728386835845775
R23-055,P3,B1:W3.1,S1:1,BAT_MON,red,16,55A0111-16-2,539.8937278063022,539.8937278063022,550,1,19.53417550992151,0.008519976478833048,0.011366074621587226
R23-056,,S1:3,B2:W1.1,BAT_SW,orange,16,55A0111-16-3,81.61889362771744,81.61889362771744,92,1,,0.0012880146927471156,0.0017182760008592896
R23-057,P4,B1:W4.1,B2:W2.1,GND,black,16,55A0111-16-0,556.306576002447,556.306576002447,567,1,19.88475015166574,0.008778985008437564,0.011711604950506133
R23-058,,B2:W3.1,J9:1,SERVO_BUS,red,16,55A0111-16-2,132.99194066042296,132.99194066042296,143,1,,0.0020987245228892204,0.0027998034497603644
R23-059,,B2:W4.1,J9:2,GND,black,16,55A0111-16-0,194.69868290172911,194.69868290172911,205,1,,0.003072508742642116,0.004098880288121715
R23-060,,J9:1,SP3:1,SERVO_BUS,red,16,55A0111-16-2,138.83680510713316,144.83680510713316,155,1,,0.002285646432300887,0.003049166623010998
R23-061,,J9:2,SP4:1,GND,black,16,55A0111-16-0,137.13627747991424,143.13627747991424,154,1,,0.002258810678078699,0.0030133663850908884
R23-062,,B2:W103.1,RH1:1,SERVO_BUS,red,16,55A0111-16-2,155.39081185352137,155.39081185352137,166,1,,0.002452197523016528,0.003271354105580199
R23-063,,B2:W104.1,RH1:2,RH_LOW,blue,16,55A0111-16-6,273.06447385815784,273.06447385815784,284,1,,0.004309186742971585,0.0057486705744612425
R23-064,,B1:W7.1,B5:W1.1,SYSTEM_5V,red,14,55A0111-14-2,174.65139156638412,174.65139156638412,185,1,,0.0017533899547018878,0.002339109869070053
R23-065,,B1:W8.1,B5:W2.1,GND,black,14,55A0111-14-0,177.65139156638418,177.65139156638418,188,1,,0.001783508064938109,0.002379288934030684
R23-101,,SP3:3,B12:W1.1,SERVO_BUS,red,16,55A0111-16-2,143.4620489382873,143.4620489382873,154,1,,0.002263951625305649,0.003020224665739001
R23-118,P5,SP3:4,B13:W1.1,SERVO_BUS,red,16,55A0111-16-2,714.4260817615477,714.4260817615477,725,1,22.556838579542585,0.011274243613100539,0.015040404692056773
R23-119,P6,SP4:4,B13:W2.1,GND,black,16,55A0111-16-0,780.9768791743863,780.9768791743863,791,1,23.15378248429016,0.012324471091957997,0.016441460660226566
R23-138,,PS1:1,B1:W5.1,BENCH_5V,red,20,Alpha3053 RD005,71.49442803911272,78.95442803911271,80,0.5,,,
R23-139,,PS1:2,B1:W6.1,GND,black,20,Alpha3053 BK005,70.88433783987912,78.34433783987912,80,0.5,,,
R23-152,,B2:W1.1,FU2:1,BAT_SW,red sleeve,factory fuse lead diameter0.64mm,,6.784955592153878,6.784955592153878,,,,,
R23-153,,FU2:2,FANREG:1,FANREG_VIN,red,24,,215.73944954854923,215.73944954854923,,,,,
R23-154,,B2:W2.1,FANREG:2,GND,black,24,,251.92250242421156,251.92250242421156,,,,,
R23-155,,FANREG:3,FU3:1,FAN2_5V_RAW,red sleeve,factory fuse lead diameter0.64mm,,18.856284391212156,18.856284391212156,,,,,
R23-156,,FU3:2,FAN2:1,FAN2_5V,red,factory fan AWG28,,97.5593827780103,97.5593827780103,,,,,
R23-157,,FANREG:2,FAN2:2,GND,black,factory fan AWG28,,115.09265359114865,115.09265359114865,,,,,
